Author: Imie i nazwisko
Date: 28/01/2022 20:24:46
Quantity Q=6: 499
Quantity Q=1: 47
Mean X: 3664880.874137931
Mean Y: 1409190.4231431943
Mean Z: 5009618.267849546
Median X: 3664880.9066
Median Y: 1409190.4317
Median Z: 5009618.2422
============================================================================================================================================================================================================================================================================================================
sod             X               Y               Z               varia X         varia Y         varia Z         stdev X         stdev Y         stdev Z         E               N               U               fi              lam             h               X2000           Y2000           h               
6263.0      	3664880.9713	1409189.3944	5009618.451 	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.9950772  	0.33228274  	-0.02658329 	0.90927877  	0.36708346  	152.46658847	5773785.488 	7502215.533 	152.46658847	
6264.0      	3664880.8767	1409190.0707	5009617.8049	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.32988222 	-0.18647544 	-0.44153107 	0.90927869  	0.36708363  	152.05164062	5773784.969 	7502216.199 	152.05164062	
6265.0      	3664882.0018	1409190.4325	5009617.4771	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.3959788  	-1.31893319 	0.02470146  	0.90927851  	0.36708361  	152.51787328	5773783.837 	7502216.133 	152.51787328	
6266.0      	3664880.4992	1409191.3595	5009617.3536	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	1.00853813  	-0.55066531 	-0.72994061 	0.90927864  	0.36708397  	151.76323116	5773784.606 	7502217.537 	151.76323116	
6267.0      	3664880.3853	1409190.4246	5009617.5418	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	0.17680122  	-0.08641048 	-0.85286995 	0.90927871  	0.36708375  	151.64030173	5773785.069 	7502216.705 	151.64030173	
6268.0      	3664881.4912	1409190.5982	5009618.2678	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.0580663  	-0.50406605 	0.39237254  	0.90927864  	0.36708369  	152.88554423	5773784.652 	7502216.471 	152.88554423	
6269.0      	3664880.9709	1409190.5239	5009618.4897	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	0.05931676  	0.03648826  	0.25275004  	0.90927873  	0.36708372  	152.74592172	5773785.192 	7502216.588 	152.74592172	
6270.0      	3664881.1126	1409190.2274	5009618.0367	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.26828522 	-0.26219154 	-0.08881614 	0.90927868  	0.36708364  	152.40435555	5773784.893 	7502216.26  	152.40435555	
6271.0      	3664882.0295	1409190.3877	5009619.3479	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.44773552 	-0.17738653 	1.50688209  	0.90927869  	0.3670836   	154.00005378	5773784.978 	7502216.081 	154.00005378	
6272.0      	3664881.5297	1409190.8738	5009617.8659	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	0.18535521  	-0.85736136 	0.15808722  	0.90927859  	0.36708376  	152.65125895	5773784.299 	7502216.714 	152.65125895	
6273.0      	3664880.9492	1409190.2713	5009617.7404	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.16866649 	-0.33630234 	-0.40662765 	0.90927867  	0.36708367  	152.08654403	5773784.819 	7502216.36  	152.08654403	
6274.0      	3664880.3101	1409190.7067	5009619.9233	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	0.46709604  	1.3520771   	1.04535557  	0.90927893  	0.36708383  	153.5385274 	5773786.508 	7502216.995 	153.5385274 	
6275.0      	3664880.5684	1409190.1397	5009618.2801	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.15483183 	0.31296745  	-0.22813216 	0.90927877  	0.36708367  	152.26503952	5773785.469 	7502216.374 	152.26503952	
6276.0      	3664881.3163	1409191.0552	5009617.8446	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	0.43125815  	-0.76464953 	0.05891328  	0.9092786   	0.36708382  	152.55208502	5773784.391 	7502216.96  	152.55208502	
6277.0      	3664882.2863	1409190.9006	5009618.0432	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.06117019 	-1.31326264 	0.73772187  	0.90927852  	0.36708369  	153.23089368	5773783.843 	7502216.468 	153.23089368	
6278.0      	3664881.9263	1409191.1634	5009618.5086	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	0.31332372  	-0.83664562 	0.95647179  	0.90927859  	0.36708379  	153.44964353	5773784.319 	7502216.842 	153.44964353	
6279.0      	3664880.6159	1409189.9152	5009618.1097	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	-0.38142269 	0.23688094  	-0.38484874 	0.90927876  	0.36708361  	152.10832295	5773785.392 	7502216.147 	152.10832295	
6280.0      	3664880.5642	1409190.8716	5009617.0069	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	0.52981486  	-0.67335193 	-1.07380733 	0.90927862  	0.36708384  	151.4193644 	5773784.483 	7502217.059 	151.4193644 	
6281.0      	3664880.5104	1409191.3519	5009616.7645	0.46176952  	0.51427265  	0.50207168  	0.67953625  	0.71712806  	0.70857016  	0.99742484  	-0.91865477 	-1.19003002 	0.90927858  	0.36708396  	151.3031418 	5773784.238 	7502217.526 	151.3031418 	
